,Unnamed: 0,Festival,Ano,Dia,Artista,Palco,Tipo de Palco,Género,Nacionalidade,Comentários
426,1558,Paredes de Coura,2012,16/08,Kasabian,Palco EDP,Principal,B – M,,
492,1564,Paredes de Coura,2017,16/08,Kate Tempest,Palco Vodafone,Principal,B – M,,
654,1566,Rock In Rio,2018,30/06,Katy Perry,Palco Mundo,Principal,B – M,,
986,1569,Super Bock Super Rock,2019,19/07,Kaytranada,Palco Super Bock,Principal,B – M,,
272,1538,Marés Vivas,2019,19/07,Keane,Palco MEO,Principal,B – M,,
177,1572,Marés Vivas,2009,18/07,Keane,,Principal,B – M,,
870,1571,Super Bock Super Rock,2010,16/07,Keane,Palco Super bock,Principal,B – M,,
238,1581,Marés Vivas,2016,14/07,Kelis,Palco Meo,Principal,F,,
960,1585,Super Bock Super Rock,2016,16/07,Kendrick Lamar,Palco Super Bock,Principal,F,,
309,1584,NOS Primavera Sounds,2014,5/6,Kendrick Lamar,Palco NOS,Principal,M,,
521,1591,Paredes de Coura,2018,17/08,Kevin Morby,Palco Vodafone,Principal,M,,
481,1590,Paredes de Coura,2016,19/08,Kevin Morby,Palco Vodafone,Principal,M,,
541,1594,Paredes de Coura,2019,15/08,Khruangbin,Palco Vodafone,Principal,M,,
228,1600,Marés Vivas,2015,17/07,Kika,Palco Meo,Principal,F,PT,
745,1599,Sudoeste,2013,10/08,Kika,Palco MEO,Principal,F,,
482,1608,Paredes de Coura,2016,19/08,King Gizzard & The Lizard Wizard,Palco Vodafone,Principal,F,,
511,1609,Paredes de Coura,2018,15/08,King Gizzard & The Lizard Wizard,Palco Vodafone,Principal,F,,
497,1613,Paredes de Coura,2017,17/08,King Krule,Palco Vodafone,Principal,F,,
409,1615,Paredes de Coura,2011,19/08,Kings of Convenience,Palco Ritek,Principal,F,,
293,1614,NOS Primavera Sounds,2012,9/6,Kings of Convenience,Palco Optimus,Principal,B – M,,
73,1616,Alive,2013,14/07,Kings of Lion,Palco Optimus,Principal,B – M,,
420,1618,Paredes de Coura,2012,15/08,"Kitty, Daisy and Lewis",Palco EDP,Principal,B – M,,
208,1621,Marés Vivas,2013,20/07,Klaxons,,Principal,B – M,,
390,1620,Paredes de Coura,2010,30/07,Klaxons,Palco Paredes de Coura,Principal,B – M,,
266,1626,Marés Vivas,2018,21/07,Kodaline,Palco Meo,Principal,B – M,,
273,1627,Marés Vivas,2019,19/07,Kodaline,Palco MEO,Principal,B – M,,
132,1629,Alive,2017,08/07,Kodaline,Palco NOS,Principal,B – M,,
242,1630,Marés Vivas,2016,15/07,Kodaline,Palco Meo,Principal,B – M,,
630,1635,Rock In Rio,2016,27/05,Korn,Palco Mundo,Principal,B – M,,
774,1641,Sudoeste,2014,10/08,Kura,Palco Meo,Principal,B – M,,
858,1643,Sudoeste,2019,08/08,Kura,Palco Meo,Principal,B – M,,
808,1642,Sudoeste,2016,05/08,Kura,Palco Meo,Principal,B – M,,
46,1668,Alive,2011,10/07,LCD Soundsystem,Palco Optimus,Principal,B – M,,
474,1667,Paredes de Coura,2016,18/08,LCD Soundsystem,Palco Vodafone,Principal,B – M,,
270,1753,Marés Vivas,2018,22/07,LP,Palco Meo,Principal,F,,
979,1651,Super Bock Super Rock,2018,21/07,La Fura Dels Baus,Palco Super Bock,Principal,F,,
205,1652,Marés Vivas,2013,19/07,La Roux,,Principal,B – F,,
431,1655,Paredes de Coura,2012,17/08,Ladrões do Tempo,Palco EDP,Principal,B – F,PT,
169,1658,Marés Vivas,2009,16/07,Lamb,,Principal,B – F,,
0,1659,Alive,2009,09/07,Lamb of God,Palco Optimus,Principal,B – M,,
983,1661,Super Bock Super Rock,2019,18/07,Lana Del Rey,Palco Super Bock,Principal,B – M,,
905,1660,Super Bock Super Rock,2012,06/07,Lana Del Rey,Palco Super Bock,Principal,B – M,,
876,1678,Super Bock Super Rock,2010,17/07,LeftField,Palco Super bock,Principal,B – M,,
850,1679,Sudoeste,2018,11/08,Lemaitre,Palco Meo,Principal,B – M,,
229,1682,Marés Vivas,2015,17/07,Lenny Kravitz,Palco Meo,Principal,M,,
585,1681,Rock In Rio,2012,01/06,Lenny Kravitz,Palco Mundo,Principal,M,,
565,1684,Rock In Rio,2010,22/5,Leona Lewis,Palco Mundo,Principal,M,,
788,1698,Sudoeste,2015,08/08,Lil Jon,Palco Meo,Principal,M,,
845,1699,Sudoeste,2018,10/08,Lil Pump,Palco Meo,Principal,M,,
829,1700,Sudoeste,2017,04/08,Lil Wayne,Palco Meo,Principal,M,,
595,1701,Rock In Rio,2012,26/5,Limp Bizkit,Palco Mundo,Principal,M,,
338,1704,NOS Primavera Sounds,2016,11/6,Linda Martini,Palco NOS,Principal,B – M,PT,
